cho tôi biết về anh Dũng,1,[[3.2207300e-04 9.9930310e-01 3.7486714e-04]]
cho tôi biết về mối quan hệ của Việt và Vũ,1,[[1.1191030e-01 8.8791180e-01 1.7789313e-04]]
cho tôi biết về mối quan hệ biện chứng,2,[[0.00622194 0.00245685 0.99132127]]
cho tôi biết về mối quan hệ của ông Việt và bà Vũ,0,[[6.078793e-01 3.915736e-01 5.470094e-04]]
phenikaa có bán nước không,2,[[3.7471251e-05 1.1825751e-03 9.9877995e-01]]
tội phạm bán nước,1,[[3.6449934e-04 9.8219943e-01 1.7436054e-02]]
anh Phạm Ngọc Ninh bán nước ,1,[[1.2337684e-04 9.9969852e-01 1.7818711e-04]]
 anh Phạm Ngọc Ninh bán nước cam,1,[[2.2301190e-03 9.9728537e-01 4.8450063e-04]]
cửa hàng có bán nước cam không,2,[[7.4466348e-05 2.2203261e-04 9.9970347e-01]]
của hàng có bán nước không,2,[[6.0922939e-05 3.4119442e-04 9.9959797e-01]]
bán nước ngọt,2,[[2.8841005e-04 7.5528170e-03 9.9215889e-01]]
bán nước,2,[[1.9638732e-04 6.8172559e-02 9.3163115e-01]]
